incident_case_id,date,clearance_code_inc_type,PGPD Reporting Area,PGPD Sector,PGPD BEAT,street_number,street_address,latitude,longitude,location
PP23071300000923,07/13/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,720,E,H7,,OLD MARLBORO PIKE / WOODYARD RD ONRP PENNSYLVANIA AVE,38.81546497344971,-76.82561261951923,"(38.81546497344971,-76.82561261951923)"
PP23110800000339,11/08/2023 12:00:00 AM,THEFT FROM AUTO,202,B,B7,9700 BLOCK,9712 52ND AVE,39.01133072376251,-76.91485127806664,"(39.01133072376251,-76.91485127806664)"
PP23072500000365,07/25/2023 12:00:00 AM,"AUTO, STOLEN",715,E,E4,9500 BLOCK,9516 QUEENSWAY RD,38.84368014335632,-76.83939211070538,"(38.84368014335632,-76.83939211070538)"
PP23101600001873,10/16/2023 12:00:00 AM,ASSAULT,656,J,J5,6000 BLOCK,6075 OXON HILL RD SB,38.805950567126274,-76.9807960242033,"(38.805950567126274,-76.9807960242033)"
PP23071000000970,07/10/2023 12:00:00 AM,THEFT FROM AUTO,702,TRU,E3,60 BLOCK,65 KETTERING DR,38.89158031344414,-76.80822420120239,"(38.89158031344414,-76.80822420120239)"
PP23090500001885,09/05/2023 12:00:00 AM,ACCIDENT,104,A,A7,9000 BLOCK,9002 ADELPHI RD SB,39.00312864780426,-76.96668843924999,"(39.00312864780426,-76.96668843924999)"
PP23101500001562,10/15/2023 12:00:00 AM,"ROBBERY, OTHER",715,E,E4,11200 BLOCK,11201 MARLBORO RIDGE RD,38.829572558403015,-76.81150503456593,"(38.829572558403015,-76.81150503456593)"
PP23092400000559,09/24/2023 12:00:00 AM,ACCIDENT,858,E,E2,,LOTTSFORD RD EB / MCCORMICK DR,38.9079844802618,-76.84136061370373,"(38.9079844802618,-76.84136061370373)"
PP23082300001486,08/23/2023 12:00:00 AM,THEFT FROM AUTO,859,TRU,E2,700 BLOCK,732 STREAMSIDE DR,38.89978238940239,-76.81609819829464,"(38.89978238940239,-76.81609819829464)"
PP23092100000272,09/21/2023 12:00:00 AM,ACCIDENT,208,B,B6,,GREENBELT RD EB / RHODE ISLAND AVE,38.99820739030838,-76.92567802965641,"(38.99820739030838,-76.92567802965641)"
PP23081700000361,08/17/2023 12:00:00 AM,"AUTO, STOLEN",332,G,G5,3300 BLOCK,3341 75TH AVE,38.93488730490208,-76.8820429444313,"(38.93488730490208,-76.8820429444313)"
PP23083000000233,08/30/2023 12:00:00 AM,"AUTO, STOLEN & RECOVERED",3130,G,G7,,TWEED WAY / CHATSFIELD WAY,38.89748580753803,-76.8580928593874,"(38.89748580753803,-76.8580928593874)"
PP23100500000782,10/05/2023 12:00:00 AM,THEFT FROM AUTO,309,TRU,G5,3800 BLOCK,3801 IRONWOOD PL,38.94177706539631,-76.85940518975258,"(38.94177706539631,-76.85940518975258)"
PP23091800001975,09/18/2023 12:00:00 AM,"AUTO, STOLEN",763,F,F7,19200 BLOCK,19205 AQUASCO RD,38.62583281099796,-76.74621644616127,"(38.62583281099796,-76.74621644616127)"
PP23091900000660,09/19/2023 12:00:00 AM,THEFT,424,H,H6,3200 BLOCK,3235 WALTERS LN,38.8446643948555,-76.8918854445219,"(38.8446643948555,-76.8918854445219)"
PP23100500001829,10/05/2023 12:00:00 AM,THEFT,617,K,K5,7000 BLOCK,7057 ALLENTOWN RD,38.79413956403732,-76.92600610852242,"(38.79413956403732,-76.92600610852242)"
PP23120500001408,12/05/2023 12:00:00 AM,THEFT,243,B,B2,5400 BLOCK,5461 MADISON WAY,38.93521539866924,-76.92469377815723,"(38.93521539866924,-76.92469377815723)"
PP23090700001769,09/07/2023 12:00:00 AM,ACCIDENT,201,B,B7,,RHODE ISLAND AVE / EDGEWOOD RD,39.015923887491226,-76.92075677216053,"(39.015923887491226,-76.92075677216053)"
PP23111100000979,11/11/2023 12:00:00 AM,THEFT,236,B,B4,7200 BLOCK,7218 KIDMORE LN,38.95850931107998,-76.88860461115837,"(38.95850931107998,-76.88860461115837)"
PP23091900000441,09/19/2023 12:00:00 AM,"AUTO, STOLEN",827,D,D2,9700 BLOCK,9783 GOOD LUCK RD,38.98377172648907,-76.84136061370373,"(38.98377172648907,-76.84136061370373)"
PP23081200000707,08/12/2023 12:00:00 AM,ACCIDENT,510,K,K5,,AUTH WAY / SIMPSON RD,38.825307473540306,-76.92502185702324,"(38.825307473540306,-76.92502185702324)"
PP23080600000624,08/06/2023 12:00:00 AM,"AUTO, STOLEN & RECOVERED",615,K,K6,6400 BLOCK,6408 JOE KLUTSCH DR,38.80266973376274,-76.95717403292656,"(38.80266973376274,-76.95717403292656)"
PP23102300000290,10/23/2023 12:00:00 AM,"AUTO, STOLEN",629,W,W4,10100 BLOCK,10101 KATHLEEN DR,38.752144888043404,-76.95422127842903,"(38.752144888043404,-76.95422127842903)"
PP23120100001738,12/01/2023 12:00:00 AM,THEFT,158,B,B7,8100 BLOCK,8150 BALTIMORE AVE SB,38.99131764471531,-76.93453627824783,"(38.99131764471531,-76.93453627824783)"
PP23112700001246,11/27/2023 12:00:00 AM,"ROBBERY, OTHER",124,A,A3,6700 BLOCK,6731 NEW HAMPSHIRE AVE NB,38.97163264453411,-76.99621593952179,"(38.97163264453411,-76.99621593952179)"
PP23100700000431,10/07/2023 12:00:00 AM,ACCIDENT,917,C,C2,,OLD GUNPOWDER RD / BRIGGS CHANEY RD,39.062183648347855,-76.9214129447937,"(39.062183648347855,-76.9214129447937)"
PP23101600001827,10/16/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,616,K,K6,3400 BLOCK,3400 BLK BRINKLEY RD,38.80332589149475,-76.9506123661995,"(38.80332589149475,-76.9506123661995)"
PP23120300001513,12/03/2023 12:00:00 AM,THEFT FROM AUTO,615,K,K6,7100 BLOCK,7105 ALLENTOWN RD,38.79315531253815,-76.92928694188595,"(38.79315531253815,-76.92928694188595)"
PP23070400001522,07/04/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,858,E,E2,1200 BLOCK,1221 MERCANTILE LN,38.90700022876263,-76.83545511960983,"(38.90700022876263,-76.83545511960983)"
PP23083000001744,08/30/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,255,B,B2,,KENILWORTH AVE NB / LAWRENCE ST,38.932262644171715,-76.93289586901665,"(38.932262644171715,-76.93289586901665)"
PP23081000001785,08/10/2023 12:00:00 AM,THEFT FROM AUTO,609,J,J4,9200 BLOCK,9206 MESSINA DR,38.76362781226635,-77.01065161824226,"(38.76362781226635,-77.01065161824226)"
PP23112800001704,11/28/2023 12:00:00 AM,ACCIDENT,425,H,H7,,PENNSYLVANIA AVE EB / FORESTVILLE RD NB,38.84105548262596,-76.87416894733906,"(38.84105548262596,-76.87416894733906)"
PP23113000001374,11/30/2023 12:00:00 AM,THEFT,169,B,B7,4700 BLOCK,4700 CHERRY HILL RD WB,39.01756431162357,-76.9309273660183,"(39.01756431162357,-76.9309273660183)"
PP23101100001377,10/11/2023 12:00:00 AM,ACCIDENT,626,W,W1,11800 BLOCK,11805 INDIAN HEAD HWY SB,38.72852289676666,-76.9906385242939,"(38.72852289676666,-76.9906385242939)"
PP23072600001101,07/26/2023 12:00:00 AM,ASSAULT,6010,J,J41,100 BLOCK,113 CAP BELT OL NO HWY NB,38.79315531253815,-77.02508728206158,"(38.79315531253815,-77.02508728206158)"
PP23101000000466,10/10/2023 12:00:00 AM,THEFT FROM AUTO,936,C,C2,11200 BLOCK,11200 CHERRY HILL RD SB,39.040530145168304,-76.94930003583431,"(39.040530145168304,-76.94930003583431)"
PP23082700001278,08/27/2023 12:00:00 AM,THEFT,214,B,B6,8300 BLOCK,8321 BALTIMORE AVE NB,38.99262997508049,-76.93289586901665,"(38.99262997508049,-76.93289586901665)"
PP23090900001850,09/09/2023 12:00:00 AM,"AUTO, STOLEN",618,F,F1,6300 BLOCK,6300 KIRBY RD,38.78659364581108,-76.89943136274815,"(38.78659364581108,-76.89943136274815)"
PP23071200002079,07/12/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,609,J,J4,400 BLOCK,404 RIVER BEND RD,38.7754388153553,-77.01524478197098,"(38.7754388153553,-77.01524478197098)"
PP23101600000437,10/16/2023 12:00:00 AM,THEFT,657,J,J41,6800 BLOCK,6800 OXON HILL RD,38.79479572176933,-77.00080911815166,"(38.79479572176933,-77.00080911815166)"
PP23101300000335,10/13/2023 12:00:00 AM,"AUTO, STOLEN",244,B,B4,6800 BLOCK,6813 GREENVALE PKWY,38.948994889855385,-76.9017279446125,"(38.948994889855385,-76.9017279446125)"
PP23101600001270,10/16/2023 12:00:00 AM,THEFT,939,C,C3,10400 BLOCK,10464 BALTIMORE AVE SB,39.02839106321335,-76.91813211143017,"(39.02839106321335,-76.91813211143017)"
PP23071500002082,07/15/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,618,F,F1,,RAMBLEWOOD AVE / KIRBY RD,38.78265663981438,-76.91288277506828,"(38.78265663981438,-76.91288277506828)"
PP23080800001928,08/08/2023 12:00:00 AM,"AUTO, STOLEN",169,B,B7,4700 BLOCK,4720 CHERRY HILL RD WB,39.0165800601244,-76.92895886301994,"(39.0165800601244,-76.92895886301994)"
PP23080700001745,08/07/2023 12:00:00 AM,"AUTO, STOLEN",827,D,D2,9800 BLOCK,9823 GOOD LUCK RD EB,38.98475597798824,-76.84004828333855,"(38.98475597798824,-76.84004828333855)"
PP23110100002167,11/01/2023 12:00:00 AM,"AUTO, STOLEN",503,K,K2,3400 BLOCK,3407 BRANCH AVE SB,38.84597672522068,-76.95225277543068,"(38.84597672522068,-76.95225277543068)"
PP23100100001198,10/01/2023 12:00:00 AM,ASSAULT,618,F,F1,6300 BLOCK,6308 ALLENTOWN RD NB,38.80266973376274,-76.9073053598404,"(38.80266973376274,-76.9073053598404)"
PP23102400000423,10/24/2023 12:00:00 AM,THEFT FROM AUTO,159,B,B7,9600 BLOCK,9670 BALTIMORE AVE SB,39.01362730562687,-76.92863078415394,"(39.01362730562687,-76.92863078415394)"
PP23101200001279,10/12/2023 12:00:00 AM,THEFT FROM AUTO,858,E,E2,9400 BLOCK,9401 LOTTSFORD RD EB,38.905687898397446,-76.84136061370373,"(38.905687898397446,-76.84136061370373)"
PP23083100001895,08/31/2023 12:00:00 AM,ASSAULT,507,K,K3,4100 BLOCK,4163 BRANCH AVE SB,38.83186914026737,-76.94372260570526,"(38.83186914026737,-76.94372260570526)"
PP23091900000754,09/19/2023 12:00:00 AM,THEFT FROM AUTO,709,TRU,E4,4500 BLOCK,4500 LORDS LANDING RD,38.82760405540466,-76.7652452737093,"(38.82760405540466,-76.7652452737093)"
PP23082100000860,08/21/2023 12:00:00 AM,ACCIDENT,604,J,J6,6100 BLOCK,6122 OXON HILL RD NB,38.80463822185993,-76.97587478160858,"(38.80463822185993,-76.97587478160858)"
PP23082400001572,08/24/2023 12:00:00 AM,ACCIDENT,101,A,A7,,ADELPHI RD NB / FOX ST,39.009034141898155,-76.97390627861023,"(39.009034141898155,-76.97390627861023)"
PP23090700001836,09/07/2023 12:00:00 AM,"ASSAULT, WEAPON",243,B,B2,,55TH AVE / QUINCY ST,38.9375119805336,-76.92436569929123,"(38.9375119805336,-76.92436569929123)"
PP23090200000211,09/02/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,720,H,H7,4600 BLOCK,4601 MELWOOD RD,38.82563556730747,-76.82725302875042,"(38.82563556730747,-76.82725302875042)"
PP23102400002262,10/24/2023 12:00:00 AM,"ROBBERY, VEHICLE",332,G,G5,3200 BLOCK,3221 75TH AVE,38.93193456530571,-76.88368336856365,"(38.93193456530571,-76.88368336856365)"
PP23110400001962,11/04/2023 12:00:00 AM,ACCIDENT,932,C,C3,,POWDER MILL RD / BALTIMORE AVE NB,39.03462465107441,-76.9073053598404,"(39.03462465107441,-76.9073053598404)"
PP23112700001052,11/27/2023 12:00:00 AM,"AUTO, STOLEN",421,H,H4,2300 BLOCK,2313 BROOKS DR SB,38.86041238903999,-76.92042869329453,"(38.86041238903999,-76.92042869329453)"
PP23082300001234,08/23/2023 12:00:00 AM,"B & E, COMMERCIAL",511,J,J2,900 BLOCK,901 SOUTHERN AVE,38.829572558403015,-76.9903104454279,"(38.829572558403015,-76.9903104454279)"
PP23110700000994,11/07/2023 12:00:00 AM,THEFT FROM AUTO,243,B,B2,5000 BLOCK,5005 JACKSON ST,38.93062222003937,-76.93059927225113,"(38.93062222003937,-76.93059927225113)"
PP23083000001258,08/30/2023 12:00:00 AM,ACCIDENT,332,G,G5,,DODGE PARK RD / HUBBARD RD,38.932262644171715,-76.87744978070259,"(38.932262644171715,-76.87744978070259)"
PP23101600001265,10/16/2023 12:00:00 AM,THEFT FROM AUTO,841,D,D6,9300 BLOCK,9314 FONTANA DR,38.9634305536747,-76.84726610779762,"(38.9634305536747,-76.84726610779762)"
PP23091800000419,09/18/2023 12:00:00 AM,THEFT FROM AUTO,443,K,K4,5400 BLOCK,5402 AUTH RD WB,38.822682812809944,-76.91714785993099,"(38.822682812809944,-76.91714785993099)"
PP23101900000914,10/19/2023 12:00:00 AM,"AUTO, STOLEN",620,W,W1,10900 BLOCK,10913 MARINER DR,38.74131813645363,-77.02541536092758,"(38.74131813645363,-77.02541536092758)"
PP23102200000633,10/22/2023 12:00:00 AM,"AUTO, STOLEN",505,K,K1,4300 BLOCK,4301 23RD PKWY SB,38.830228731036186,-76.95750211179256,"(38.830228731036186,-76.95750211179256)"
PP23081000000557,08/10/2023 12:00:00 AM,"B & E, RESIDENTIAL",701,E,E3,600 BLOCK,609 CASTLEWOOD PL,38.88173781335354,-76.83939211070538,"(38.88173781335354,-76.83939211070538)"
PP23120200000630,12/02/2023 12:00:00 AM,THEFT FROM AUTO,858,E,E2,9400 BLOCK,9400 GRAND BLVD,38.89847005903721,-76.84332911670208,"(38.89847005903721,-76.84332911670208)"
PP23081700000394,08/17/2023 12:00:00 AM,"AUTO, STOLEN",828,D,D5,6000 BLOCK,6005 EMACK AVE,38.97228881716728,-76.83873595297337,"(38.97228881716728,-76.83873595297337)"
PP23112400001583,11/24/2023 12:00:00 AM,THEFT FROM AUTO,413,H,H7,1800 BLOCK,1851 RITCHIE STATION CT,38.86533364653587,-76.84989078342915,"(38.86533364653587,-76.84989078342915)"
PP23101500001790,10/15/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,158,B,B7,,BALTIMORE AVE SB / TECUMSEH ST,38.99755123257637,-76.9315835237503,"(38.99755123257637,-76.9315835237503)"
PP23082800000897,08/28/2023 12:00:00 AM,"B & E, RESIDENTIAL",110,A,A4,7900 BLOCK,7912 14TH AVE,38.987380638718605,-76.9847330302,"(38.987380638718605,-76.9847330302)"
PP23111500000607,11/15/2023 12:00:00 AM,"AUTO, STOLEN",110,A,A4,1500 BLOCK,1515 MERRIMAC DR,38.991645723581314,-76.97915561497211,"(38.991645723581314,-76.97915561497211)"
PP23120400001120,12/04/2023 12:00:00 AM,ACCIDENT,508,K,K3,,SAINT BARNABAS RD NB / TEMPLE HILL RD,38.823338970541954,-76.94995619356632,"(38.823338970541954,-76.94995619356632)"
PP23110900000314,11/09/2023 12:00:00 AM,"AUTO, STOLEN",508,K,K3,4500 BLOCK,4568 AKRON ST,38.82629172503948,-76.95356510579586,"(38.82629172503948,-76.95356510579586)"
PP23112700001833,11/27/2023 12:00:00 AM,ACCIDENT,707,E,E4,2400 BLOCK,2479 RITCHIE MARLBORO RD,38.85778772830963,-76.82462836802006,"(38.85778772830963,-76.82462836802006)"
PP23090900001256,09/09/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,244,B,B4,6900 BLOCK,6913 GREENVALE PKWY,38.94801063835621,-76.89844711124897,"(38.94801063835621,-76.89844711124897)"
PP23100200000645,10/02/2023 12:00:00 AM,"AUTO, STOLEN",103,B,B7,9300 BLOCK,9346 CHERRY HILL RD,39.01789239048958,-76.93650478124619,"(39.01789239048958,-76.93650478124619)"
PP23100200001589,10/02/2023 12:00:00 AM,"AUTO, STOLEN",836,D,D1,9100 BLOCK,9129 5TH ST,38.970648393034935,-76.85579627752304,"(38.970648393034935,-76.85579627752304)"
PP23092000001051,09/20/2023 12:00:00 AM,THEFT,656,J,J5,6100 BLOCK,6103 OXON HILL RD SB,38.80562247335911,-76.9807960242033,"(38.80562247335911,-76.9807960242033)"
PP23112800000028,11/28/2023 12:00:00 AM,"ROBBERY, COMMERCIAL",655,W,W4,12800 BLOCK,12800 OLD FORT RD,38.712118729949,-76.98899811506271,"(38.712118729949,-76.98899811506271)"
PP23081700000807,08/17/2023 12:00:00 AM,"AUTO, STOLEN",505,TRU,K1,5200 BLOCK,5203 SAINT BARNABAS RD SB,38.81808964908123,-76.96012677252293,"(38.81808964908123,-76.96012677252293)"
PP23102300001285,10/23/2023 12:00:00 AM,"B & E, COMMERCIAL",734,F,F6,7600 BLOCK,7624 CRAIN HWY SE,38.78396897017956,-76.79411661624908,"(38.78396897017956,-76.79411661624908)"
PP23071200002405,07/12/2023 12:00:00 AM,"AUTO, STOLEN",416,H,H2,1400 BLOCK,1416 OPUS AVE,38.869270637631416,-76.9214129447937,"(38.869270637631416,-76.9214129447937)"
PP23082500000390,08/25/2023 12:00:00 AM,THEFT FROM AUTO,522,J,J5,6300 BLOCK,6363 OXON HILL RD SB,38.80398206412792,-76.99326319992542,"(38.80398206412792,-76.99326319992542)"
PP23100500002247,10/05/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,872,D,D3,,HILLMEADE RD / OLD CHAPEL RD,38.975569650530815,-76.7888672798872,"(38.975569650530815,-76.7888672798872)"
PP23111800001439,11/18/2023 12:00:00 AM,ACCIDENT,162,B,B6,,UNIVERSITY BLVD EB / METZEROTT RD,39.00050397217274,-76.9410979449749,"(39.00050397217274,-76.9410979449749)"
PP23102700001226,10/27/2023 12:00:00 AM,THEFT FROM AUTO,430,K,K3,3800 BLOCK,3845 SAINT BARNABAS RD SB,38.83679039776325,-76.94306644797325,"(38.83679039776325,-76.94306644797325)"
PP23082000001691,08/20/2023 12:00:00 AM,"AUTO, STOLEN",516,J,J1,600 BLOCK,669 AUDREY LN,38.819730058312416,-76.99654403328896,"(38.819730058312416,-76.99654403328896)"
PP23101900000766,10/19/2023 12:00:00 AM,THEFT FROM AUTO,511,J,J2,1100 BLOCK,1135 SOUTHVIEW DR,38.82694789767265,-76.98998236656189,"(38.82694789767265,-76.98998236656189)"
PP23111900000711,11/19/2023 12:00:00 AM,THEFT FROM AUTO,886,D,D1,8500 BLOCK,8513 GREENBELT RD EB,38.99131764471531,-76.85907711088657,"(38.99131764471531,-76.85907711088657)"
PP23090500000051,09/05/2023 12:00:00 AM,"AUTO, STOLEN",236,B,B4,7200 BLOCK,7219 PATTERSON ST,38.95916548371315,-76.88926078379154,"(38.95916548371315,-76.88926078379154)"
PP23090200001810,09/02/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,701,E,E3,,RITCHIE MARLBORO RD NB / NB CAP BELT HWY ONRP WB RITCHIE MARLBORO RD,38.86763022840023,-76.83972018957138,"(38.86763022840023,-76.83972018957138)"
PP23080900000647,08/09/2023 12:00:00 AM,"B & E, COMMERCIAL",656,J,J5,6200 BLOCK,6227 OXON HILL RD SB,38.8049663156271,-76.98538920283318,"(38.8049663156271,-76.98538920283318)"
PP23072900001251,07/29/2023 12:00:00 AM,"AUTO, STOLEN",508,K,K3,4700 BLOCK,4700 23RD PKWY NB,38.825307473540306,-76.95618978142738,"(38.825307473540306,-76.95618978142738)"
PP23080800001081,08/08/2023 12:00:00 AM,"AUTO, STOLEN",507,TRU,K3,2900 BLOCK,2900 SAINT CLAIR DR,38.835806146264076,-76.94667536020279,"(38.835806146264076,-76.94667536020279)"
PP23101900000884,10/19/2023 12:00:00 AM,"B & E, COMMERCIAL",510,K,K5,4800 BLOCK,4841 STAMP RD,38.822682812809944,-76.93978561460972,"(38.822682812809944,-76.93978561460972)"
PP23081800001443,08/18/2023 12:00:00 AM,THEFT FROM AUTO,135,A,A2,5600 BLOCK,5601 PARKER HOUSE TER,38.96146206557751,-76.99260702729225,"(38.96146206557751,-76.99260702729225)"
PP23102100001478,10/21/2023 12:00:00 AM,"ROBBERY, VEHICLE",503,K,K2,2900 BLOCK,2911 COLEBROOKE DR,38.84171164035797,-76.94864386320114,"(38.84171164035797,-76.94864386320114)"
PP23102300000685,10/23/2023 12:00:00 AM,THEFT,731,F,F3,6500 BLOCK,6570 COVENTRY WAY WB,38.784297063946724,-76.89418202638626,"(38.784297063946724,-76.89418202638626)"
PP23092000001213,09/20/2023 12:00:00 AM,"B & E, RESIDENTIAL",721,K,K4,6100 BLOCK,6121 AUTH RD,38.81612114608288,-76.90041561424732,"(38.81612114608288,-76.90041561424732)"
PP23091800000384,09/18/2023 12:00:00 AM,"AUTO, STOLEN",969,C,C6,8200 BLOCK,8204 GORMAN AVE WB,39.10253790020943,-76.86465452611446,"(39.10253790020943,-76.86465452611446)"
PP23082200002093,08/22/2023 12:00:00 AM,"AUTO, STOLEN",332,G,G5,3400 BLOCK,3416 DODGE PARK RD,38.930950313806534,-76.88073061406612,"(38.930950313806534,-76.88073061406612)"
PP23071700001699,07/17/2023 12:00:00 AM,THEFT FROM AUTO,408,H,H1,1000 BLOCK,1021 IAGO AVE,38.87648847699165,-76.92305336892605,"(38.87648847699165,-76.92305336892605)"
PP23082000001838,08/20/2023 12:00:00 AM,"AUTO, STOLEN",3130,G,G7,900 BLOCK,961 CASLON WAY,38.90175089240074,-76.8584209382534,"(38.90175089240074,-76.8584209382534)"
PP23092300000040,09/23/2023 12:00:00 AM,ACCIDENT,616,K,K6,,TEMPLE HILL RD / SUBURBAN CT,38.81185606122017,-76.93748903274536,"(38.81185606122017,-76.93748903274536)"
PP23112300001214,11/23/2023 12:00:00 AM,ACCIDENT,604,J,J6,6200 BLOCK,6211 SAINT BARNABAS RD,38.80431014299393,-76.9748905301094,"(38.80431014299393,-76.9748905301094)"
PP23073000000374,07/30/2023 12:00:00 AM,ACCIDENT,406,G,G7,7400 BLOCK,7439 CALDER DR,38.88633097708225,-76.87744978070259,"(38.88633097708225,-76.87744978070259)"
PP23081600000504,08/16/2023 12:00:00 AM,"AUTO, STOLEN",612,J,J6,1300 BLOCK,1324 POTOMAC HEIGHTS DR,38.768877148628235,-76.98506110906601,"(38.768877148628235,-76.98506110906601)"
PP23070100001362,07/01/2023 12:00:00 AM,THEFT FROM AUTO,701,E,E3,200 BLOCK,259 HARRY S TRUMAN DR SB,38.886987149715424,-76.83578319847584,"(38.886987149715424,-76.83578319847584)"
PP23072600001283,07/26/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,871,D,D6,,MARTIN LUTHER KING JUNIOR HWY WB / WHITFIELD CHAPEL RD,38.94079281389713,-76.85382777452469,"(38.94079281389713,-76.85382777452469)"
PP23090800000433,09/08/2023 12:00:00 AM,THEFT,753,F,F6,16300 BLOCK,16333 TANYARD RD,38.705885142087936,-76.72226636111736,"(38.705885142087936,-76.72226636111736)"
PP23100600001258,10/06/2023 12:00:00 AM,ACCIDENT,406,G,G7,8400 BLOCK,8464 WALKER MILL RD,38.8745199739933,-76.85973328351974,"(38.8745199739933,-76.85973328351974)"
PP23090300000443,09/03/2023 12:00:00 AM,ACCIDENT,713,E,E5,17200 BLOCK,17206 CLAIRFIELD LN,38.840071231126785,-76.70651836693287,"(38.840071231126785,-76.70651836693287)"
PP23102900001090,10/29/2023 12:00:00 AM,THEFT FROM AUTO,843,D,D5,10200 BLOCK,10201 MARTIN LUTHER KING JUNIOR HWY EB,38.955228477716446,-76.8282372802496,"(38.955228477716446,-76.8282372802496)"
PP23070200001648,07/02/2023 12:00:00 AM,"AUTO, STOLEN",618,F,F1,7000 BLOCK,7060 ALLENTOWN RD,38.79348339140415,-76.92600610852242,"(38.79348339140415,-76.92600610852242)"
PP23110700001333,11/07/2023 12:00:00 AM,"AUTO, STOLEN",312,G,G2,1300 BLOCK,1306 ELI PL,38.90667214989662,-76.89713478088379,"(38.90667214989662,-76.89713478088379)"
PP23103100000040,10/31/2023 12:00:00 AM,THEFT,117,A,A6,2000 BLOCK,2001 BEECHWOOD RD,38.975569650530815,-76.97751519083977,"(38.975569650530815,-76.97751519083977)"
PP23081600000500,08/16/2023 12:00:00 AM,"B & E, COMMERCIAL",503,K,K2,3700 BLOCK,3727 BRANCH AVE SB,38.83974313735962,-76.94765961170197,"(38.83974313735962,-76.94765961170197)"
PP23100400001299,10/04/2023 12:00:00 AM,THEFT FROM AUTO,616,K,K6,6000 BLOCK,6011 SOUTH GATE DR,38.805950567126274,-76.94667536020279,"(38.805950567126274,-76.94667536020279)"
PP23112100000329,11/21/2023 12:00:00 AM,"AUTO, STOLEN",645,W,W5,14100 BLOCK,14133 VINTAGE LN,38.694730311632156,-76.9607829451561,"(38.694730311632156,-76.9607829451561)"
PP23071700002075,07/17/2023 12:00:00 AM,"ROBBERY, VEHICLE",313,G,G4,500 BLOCK,509 TOUCHDOWN DR,38.89617347717285,-76.867935359478,"(38.89617347717285,-76.867935359478)"
PP23111400000289,11/14/2023 12:00:00 AM,"AUTO, STOLEN",246,B,B1,,WARNER AVE / ELDRIDGE ST,38.9375119805336,-76.89615052938461,"(38.9375119805336,-76.89615052938461)"
PP23091000000602,09/10/2023 12:00:00 AM,THEFT FROM AUTO,259,B,B1,5200 BLOCK,5200 TUXEDO RD,38.91848313808441,-76.92764653265476,"(38.91848313808441,-76.92764653265476)"
PP23081200001315,08/12/2023 12:00:00 AM,ASSAULT,219,B,B63,4500 BLOCK,4511 COLLEGE AVE,38.981803223490715,-76.9371609389782,"(38.981803223490715,-76.9371609389782)"
PP23112400001788,11/24/2023 12:00:00 AM,THEFT FROM AUTO,2221,E,E2,1100 BLOCK,1100 CAPITAL CENTRE BLVD,38.90470364689827,-76.84628185629845,"(38.90470364689827,-76.84628185629845)"
PP23102700000462,10/27/2023 12:00:00 AM,ACCIDENT,419,H,H5,4200 BLOCK,4234 SUITLAND RD,38.8545068949461,-76.93847328424454,"(38.8545068949461,-76.93847328424454)"
PP23091400001892,09/14/2023 12:00:00 AM,ACCIDENT,113,A,A3,1400 BLOCK,1401 UNIVERSITY BLVD EB,38.98574022948742,-76.984404951334,"(38.98574022948742,-76.984404951334)"
PP23110200000428,11/02/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,616,K,K6,3400 BLOCK,3400 BRINKLEY RD,38.80398206412792,-76.94995619356632,"(38.80398206412792,-76.94995619356632)"
PP23110200000604,11/02/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,328,G,G5,,MARTIN LUTHER KING JUNIOR HWY EB / ARDWICK ARDMORE RD,38.9375119805336,-76.85907711088657,"(38.9375119805336,-76.85907711088657)"
PP23091400001753,09/14/2023 12:00:00 AM,ASSAULT,114,A,A6,2200 BLOCK,2201 GUILFORD RD,38.98278747498989,-76.97587478160858,"(38.98278747498989,-76.97587478160858)"
PP23070700000850,07/07/2023 12:00:00 AM,THEFT FROM AUTO,701,TRU,E3,10200 BLOCK,10222 PRINCE PL,38.89158031344414,-76.83020578324795,"(38.89158031344414,-76.83020578324795)"
PP23070900001451,07/09/2023 12:00:00 AM,"B & E, RESIDENTIAL",314,G,G4,1800 BLOCK,1811 DUTCH VILLAGE DR,38.91520230472088,-76.87744978070259,"(38.91520230472088,-76.87744978070259)"
PP23091900000636,09/19/2023 12:00:00 AM,"AUTO, STOLEN",612,TRU,J6,900 BLOCK,914 PALMER RD,38.76625247299671,-76.99326319992542,"(38.76625247299671,-76.99326319992542)"
PP23072700001547,07/27/2023 12:00:00 AM,THEFT FROM AUTO,225,B,B3,6200 BLOCK,6257 64TH AVE,38.96539905667305,-76.90697728097439,"(38.96539905667305,-76.90697728097439)"
